   M    BELSURF     ASURFEL        VOLSEL
 560   126.95400    0.1668E+08    0.4448E+08
 561   126.95500    0.1671E+08    0.4450E+08
 562   126.97400    0.1672E+08    0.4482E+08
 563   126.97500    0.1675E+08    0.4483E+08
 564   126.98200    0.1676E+08    0.4495E+08
 565   126.98400    0.1678E+08    0.4498E+08
 566   126.98500    0.1681E+08    0.4500E+08
 567   126.99700    0.1682E+08    0.4520E+08
 568   127.00000    0.1682E+08    0.4525E+08
 569   127.00000    0.1683E+08    0.4525E+08
 570   127.01200    0.1685E+08    0.4546E+08
 571   127.01500    0.1687E+08    0.4551E+08
 572   127.02000    0.1690E+08    0.4559E+08
 573   127.02100    0.1692E+08    0.4561E+08
 574   127.02200    0.1695E+08    0.4562E+08
 575   127.03100    0.1697E+08    0.4578E+08
 576   127.03100    0.1698E+08    0.4578E+08
